file_name	base_name	yr_mo	int_area	int_gain	samp_gain
1708_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1708_SFMG_SMP_1	1708	21582.17126	med	med
1708_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1708_SFPR_SMP_1	1708	21582.17126	med	med
1708_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1708_SFSI_SMP_1	1708	21582.17126	med	med
1709_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1709_ELDC_SMP_1	1709	22447.99945	med	med
1709_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1709_FOXC_SMP_1	1709	22447.99945	med	med
1709_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1709_REDC_SMP_1	1709	22447.99945	med	med
1709_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1709_SFCD_SMP_1	1709	22447.99945	med	med
1709_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1709_SFMD_SMP_1	1709	22447.99945	med	med
1709_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1709_SFMG_SMP_1	1709	22447.99945	med	med
1709_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1709_SFPR_SMP_1	1709	22447.99945	med	med
1709_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1709_SFSI_SMP_1	1709	22447.99945	med	med
1603_ELDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1603_ELDC_SMP_2	1603	24621.50091	med	low
1603_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1603_FOXC_SMP_1	1603	24621.50091	med	low
1603_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1603_REDC_SMP_1	1603	24621.50091	med	low
1603_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1603_SFMD_SMP_1	1603	24621.50091	med	low
1603_SFMG_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1603_SFMG_SMP_2	1603	24621.50091	med	low
1603_SFSI_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1603_SFSI_SMP_2	1603	24742.65427	med	low
1604_ELDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1604_ELDC_SMP_2	1604	25109.75272	med	low
1604_FOXC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1604_FOXC_SMP_2	1604	25109.75272	med	low
1604_SFCD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1604_SFCD_SMP_2	1604	25109.75272	med	low
1604_SFMD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1604_SFMD_SMP_2	1604	25109.75272	med	low
1604_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFMG_SMP_1	1604	25109.75272	med	low
1604_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFPR_SMP_1	1604	25109.75272	med	low
1604_SFSI_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1604_SFSI_SMP_2	1604	25109.75272	med	low
1605_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_ELDC_SMP_1	1605	24761.48839	med	low
1605_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_FOXC_SMP_1	1605	24761.48839	med	low
1605_REDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1605_REDC_SMP_2	1605	24761.48839	med	low
1605_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFCD_SMP_1	1605	24761.48839	med	low
1605_SFMD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1605_SFMD_SMP_2	1605	24761.48839	med	low
1605_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFMG_SMP_1	1605	24761.48839	med	low
1607_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1607_ELDC_SMP_1	1607	23870.69652	med	low
1607_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1607_FOXC_SMP_1	1607	23870.69652	med	low
1607_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1607_REDC_SMP_1	1607	23870.69652	med	low
1607_SFMD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1607_SFMD_SMP_2	1607	23870.69652	med	low
1607_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1607_SFMG_SMP_1	1607	23870.69652	med	low
1607_SFPR_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1607_SFPR_SMP_2	1607	23870.69652	med	low
1607_SFSI_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1607_SFSI_SMP_2	1607	23870.69652	med	low
1608_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_ELDC_SMP_1	1608	11628.40477	low	low
1608_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_FOXC_SMP_1	1608	11628.40477	low	low
1608_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_REDC_SMP_1	1608	11628.40477	low	low
1608_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFCD_SMP_1	1608	11628.40477	low	low
1608_SFMD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1608_SFMD_SMP_2	1608	11628.40477	low	low
1608_SFMG_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1608_SFMG_SMP_2	1608	11628.40477	low	low
1608_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFPR_SMP_1	1608	11628.40477	low	low
1608_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFSI_SMP_1	1608	11628.40477	low	low
1609_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1609_ELDC_SMP_1	1609	12168.15767	low	low
1609_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1609_FOXC_SMP_1	1609	12168.15767	low	low
1609_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1609_REDC_SMP_1	1609	12168.15767	low	low
1609_SFCD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1609_SFCD_SMP_2	1609	11832.13121	low	low
1609_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1609_SFMD_SMP_1	1609	12168.15767	low	low
